NUMBER,CODE,SERIAL,NAME,TYPE1,TYPE2,COLOR,ABILITY1,ABILITY2,ABILITY HIDDEN,GENERATION,LEGENDARY_FLAG,MEGA_EVOLUTION_FLAG,HEIGHT,WEIGHT,HP,ATK,DEF,SP_ATK,SP_DEF,SPD,TOTAL,CAPTURE_RATE,BASE_EGG_HATCH_CYCLE,BASE_EGG_HATCH_STEPS,EGG_GROUP1,EGG_GROUP2,BASE_EXP,EFFORT_HP,EFFORT_ATK,EFFORT_DEF,EFFORT_SP_ATK,EFFORT_SP_DEF,EFFORT_SPD,EFFORT_TOTAL
234,1,2341,Stantler,Normal,,Brown,Intimidate,Frisk,Sap Sipper,2,0,0,1.4,71.2,73,95,62,85,65,85,465,45,20,5120,Field,,163,0,1,0,0,0,0,1
235,1,2351,Smeargle,Normal,,White,Own Tempo,Technician,Moody,2,0,0,1.2,58,55,20,35,20,45,75,250,45,20,5120,Field,,88,0,0,0,0,0,1,1
236,1,2361,Tyrogue,Fighting,,Purple,Guts,Steadfast,Vital Spilit,2,0,0,0.7,21,35,35,35,35,35,35,210,75,25,6400,Undiscovered,,42,0,1,0,0,0,0,1
237,1,2371,Hitmontop,Fighting,,Brown,Intimidate,Technician,Steadfast,2,0,0,1.4,48,50,95,95,35,110,70,455,45,25,6400,Human-Like,,159,0,0,0,0,2,0,2
238,1,2381,Smoochum,Ice,Psychic,Pink,Oblivious,Forewarn,Hydration,2,0,0,0.5,6,45,30,15,85,65,65,305,45,25,6400,Undiscovered,,61,0,0,0,1,0,0,1
239,1,2391,Elekid,Electric,,Yellow,Static,,Vital Spilit,2,0,0,0.6,23.5,45,63,37,65,55,95,360,45,25,6400,Undiscovered,,72,0,0,0,0,0,1,1
240,1,2401,Magby,Fire,,Red,Flame Body,,Vital Spilit,2,0,0,0.7,21.4,45,75,37,70,55,83,365,45,25,6400,Undiscovered,,73,0,0,0,0,0,1,1
241,1,2411,Miltank,Normal,,Pink,Thick Fat,Scrappy,Sap Sipper,2,0,0,1.2,75.5,95,80,105,40,70,100,490,45,20,5120,Field,,172,0,0,2,0,0,0,2
242,1,2421,Blissey,Normal,,Pink,Natural Cure,Serene Grace,Healer,2,0,0,1.5,46.8,255,10,10,75,135,55,540,30,40,10240,Fairy,,635,3,0,0,0,0,0,3
243,1,2431,Raikou,Electric,,Yellow,Pressure,,Inner Focus,2,1,0,1.9,178,90,85,75,115,100,115,580,3,80,20480,Undiscovered,,290,0,0,0,1,0,2,3
244,1,2441,Entei,Fire,,Brown,Pressure,,Inner Focus,2,1,0,2.1,198,115,115,85,90,75,100,580,3,80,20480,Undiscovered,,290,1,2,0,0,0,0,3
245,1,2451,Suicune,Water,,Blue,Pressure,,Inner Focus,2,1,0,2,187,100,75,115,90,115,85,580,3,80,20480,Undiscovered,,290,0,0,1,0,2,0,3
246,1,2461,Larvitar,Rock,Ground,Green,Guts,,Sand Veil,2,0,0,0.6,72,50,64,50,45,50,41,300,45,40,10240,Monster,,60,0,1,0,0,0,0,1
247,1,2471,Pupitar,Rock,Ground,Grey,Shed Skin,,,2,0,0,1.2,152,70,84,70,65,70,51,410,45,40,10240,Monster,,144,0,2,0,0,0,0,2
248,1,2481,Tyranitar,Rock,Dark,Green,Sand Stream,,Unnerve,2,0,0,2,202,100,134,110,95,100,61,600,45,40,10240,Monster,,300,0,3,0,0,0,0,3
248,2,2482,Mega Tyranitar,Rock,Dark,Green,Sand Stream,,,2,0,1,2,255,100,164,150,95,120,71,700,45,40,10240,Monster,,350,0,3,0,0,0,0,3
249,1,2491,Lugia,Psychic,Flying,White,Pressure,,Multiscale,2,1,0,5.2,216,106,90,130,90,154,110,680,3,120,30720,Undiscovered,,340,0,0,0,0,3,0,3
250,1,2501,Ho-Oh,Fire,Flying,Red,Pressure,,Regenerator,2,1,0,3.8,199,106,130,90,110,154,90,680,3,120,30720,Undiscovered,,340,0,0,0,0,3,0,3
251,1,2511,Celebi,Psychic,Grass,Green,Natural Cure,,,2,1,0,0.6,5,100,100,100,100,100,100,600,45,120,30720,Undiscovered,,300,3,0,0,0,0,0,3
252,1,2521,Treecko,Grass,,Green,Overgrow,,Unburden,3,0,0,0.5,5,40,45,35,65,55,70,310,45,20,5120,Monster,Dragon,62,0,0,0,0,0,1,1
253,1,2531,Grovyle,Grass,,Green,Overgrow,,Unburden,3,0,0,0.9,21.6,50,65,45,85,65,95,405,45,20,5120,Monster,Dragon,142,0,0,0,0,0,2,2
254,1,2541,Sceptile,Grass,,Green,Overgrow,,Unburden,3,0,0,1.7,52.2,70,85,65,105,85,120,530,45,20,5120,Monster,Dragon,265,0,0,0,0,0,3,3
254,2,2542,Mega Sceptile,Grass,Dragon,Green,Lightning Rod,,,3,0,1,1.9,55.2,70,110,75,145,85,145,630,45,20,5120,Monster,Dragon,315,0,0,0,0,0,3,3
255,1,2551,Torchic,Fire,,Red,Blaze,,Speed Boost,3,0,0,0.4,2.5,45,60,40,70,50,45,310,45,20,5120,Field,,62,0,0,0,1,0,0,1
256,1,2561,Combusken,Fire,Fighting,Red,Blaze,,Speed Boost,3,0,0,0.9,19.5,60,85,60,85,60,55,405,45,20,5120,Field,,142,0,1,0,1,0,0,2
257,1,2571,Blaziken,Fire,Fighting,Red,Blaze,,Speed Boost,3,0,0,1.9,52,80,120,70,110,70,80,530,45,20,5120,Field,,265,0,3,0,0,0,0,3
257,2,2572,Mega Blaziken,Fire,Fighting,Red,Speed Boost,,,3,0,1,1.9,52,80,160,80,130,80,100,630,45,20,5120,Field,,315,0,3,0,0,0,0,3
258,1,2581,Mudkip,Water,,Blue,Torrent,,Damp,3,0,0,0.4,7.6,50,70,50,50,50,40,310,45,20,5120,Monster,Water1,62,0,1,0,0,0,0,1
259,1,2591,Marshtomp,Water,Ground,Blue,Torrent,,Damp,3,0,0,0.7,28,70,85,70,60,70,50,405,45,20,5120,Monster,Water1,142,0,2,0,0,0,0,2
260,1,2601,Swampert,Water,Ground,Blue,Torrent,,Damp,3,0,0,1.5,81.9,100,110,90,85,90,60,535,45,20,5120,Monster,Water1,268,0,3,0,0,0,0,3
260,2,2602,Mega Swampert,Water,Ground,Blue,Swift Swim,,,3,0,1,1.9,102,100,150,110,95,110,70,635,45,20,5120,Monster,Water1,318,0,3,0,0,0,0,3
261,1,2611,Poochyena,Dark,,Grey,Run Away,Quick Feet,Rattled,3,0,0,0.5,13.6,35,55,35,30,30,35,220,255,15,3840,Field,,56,0,1,0,0,0,0,1
262,1,2621,Mightyena,Dark,,Grey,Intimidate,Quick Feet,Moxie,3,0,0,1,37,70,90,70,60,60,70,420,127,15,3840,Field,,147,0,2,0,0,0,0,2
263,1,2631,Zigzagoon,Normal,,Brown,Pickup,Gluttony,Quick Feet,3,0,0,0.4,17.5,38,30,41,30,41,60,240,255,15,3840,Field,,56,0,0,0,0,0,1,1
263,2,2632,Zigzagoon,Dark,Normal,White,Pickup,Gluttony,Quick Feet,8,0,0,0.4,17.5,38,30,41,30,41,60,240,255,15,3840,Field,,56,0,0,0,0,0,1,1
264,1,2641,Linoone,Normal,,White,Pickup,Gluttony,Quick Feet,3,0,0,0.5,32.5,78,70,61,50,61,100,420,90,15,3840,Field,,147,0,0,0,0,0,2,2
264,2,2642,Linoone,Dark,Normal,White,Pickup,Gluttony,Quick Feet,8,0,0,0.5,32.5,78,70,61,50,61,100,420,90,15,3840,Field,,147,0,0,0,0,0,2,2
265,1,2651,Wurmple,Bug,,Red,Shield Dust,,Run Away,3,0,0,0.3,3.6,45,45,35,20,30,20,195,255,15,3840,Bug,,56,1,0,0,0,0,0,1
266,1,2661,Silcoon,Bug,,White,Shed Skin,,,3,0,0,0.6,10,50,35,55,25,25,15,205,120,15,3840,Bug,,72,0,0,2,0,0,0,2
267,1,2671,Beautifly,Bug,Flying,Yellow,Swarm,,Rivalry,3,0,0,1,28.4,60,70,50,100,50,65,395,45,15,3840,Bug,,198,0,0,0,3,0,0,3
268,1,2681,Cascoon,Bug,,Purple,Shed Skin,,,3,0,0,0.7,11.5,50,35,55,25,25,15,205,120,15,3840,Bug,,72,0,0,2,0,0,0,2
269,1,2691,Dustox,Bug,Poison,Green,Shield Dust,,Compound Eyes,3,0,0,1.2,31.6,60,50,70,50,90,65,385,45,15,3840,Bug,,193,0,0,0,0,3,0,3
270,1,2701,Lotad,Water,Grass,Green,Swift Swim,Rain Dish,Own Tempo,3,0,0,0.5,2.6,40,30,30,40,50,30,220,255,15,3840,Water1,Grass,44,0,0,0,0,1,0,1
271,1,2711,Lombre,Water,Grass,Green,Swift Swim,Rain Dish,Own Tempo,3,0,0,1.2,32.5,60,50,50,60,70,50,340,120,15,3840,Water1,Grass,119,0,0,0,0,2,0,2
272,1,2721,Ludicolo,Water,Grass,Green,Swift Swim,Rain Dish,Own Tempo,3,0,0,1.5,55,80,70,70,90,100,70,480,45,15,3840,Water1,Grass,240,0,0,0,0,3,0,3
273,1,2731,Seedot,Grass,,Brown,Chlorophyll,Early Bird,Pickpocket,3,0,0,0.5,4,40,40,50,30,30,30,220,255,15,3840,Field,Grass,44,0,0,1,0,0,0,1
274,1,2741,Nuzleaf,Grass,Dark,Brown,Chlorophyll,Early Bird,Pickpocket,3,0,0,1,28,70,70,40,60,40,60,340,120,15,3840,Field,Grass,119,0,2,0,0,0,0,2
275,1,2751,Shiftry,Grass,Dark,Brown,Chlorophyll,Early Bird,Pickpocket,3,0,0,1.3,59.6,90,100,60,90,60,80,480,45,15,3840,Field,Grass,240,0,3,0,0,0,0,3
276,1,2761,Taillow,Normal,Flying,Blue,Guts,,Scrappy,3,0,0,0.3,2.3,40,55,30,30,30,85,270,200,15,3840,Flying,,54,0,0,0,0,0,1,1
277,1,2771,Swellow,Normal,Flying,Blue,Guts,,Scrappy,3,0,0,0.7,19.8,60,85,60,75,50,125,455,45,15,3840,Flying,,159,0,0,0,0,0,2,2
278,1,2781,Wingull,Water,Flying,White,Keen Eye,Hydration,Rain Dish,3,0,0,0.6,9.5,40,30,30,55,30,85,270,190,20,5120,Water1,Flying,54,0,0,0,0,0,1,1
279,1,2791,Pelipper,Water,Flying,Yellow,Keen Eye,Drizzle,Rain Dish,3,0,0,1.2,28,60,50,100,95,70,65,440,45,20,5120,Water1,Flying,154,0,0,2,0,0,0,2
280,1,2801,Ralts,Psychic,Fairy,White,Synchronize,Trace,Telepathy,3,0,0,0.4,6.6,28,25,25,45,35,40,198,235,20,5120,Human-Like,Amorphous,40,0,0,0,1,0,0,1
281,1,2811,Kirlia,Psychic,Fairy,White,Synchronize,Trace,Telepathy,3,0,0,0.8,20.2,38,35,35,65,55,50,278,120,20,5120,Human-Like,Amorphous,97,0,0,0,2,0,0,2
282,1,2821,Gardevoir,Psychic,Fairy,White,Synchronize,Trace,Telepathy,3,0,0,1.6,48.4,68,65,65,125,115,80,518,45,20,5120,Human-Like,Amorphous,259,0,0,0,3,0,0,3
282,2,2822,Mega Gardevoir,Psychic,Fairy,White,Pixilate,,,3,0,1,1.6,48.4,68,85,65,165,135,100,618,45,20,5120,Human-Like,Amorphous,309,0,0,0,3,0,0,3
283,1,2831,Surskit,Bug,Water,Blue,Swift Swim,,Rain Dish,3,0,0,0.5,1.7,40,30,32,50,52,65,269,200,15,3840,Water1,Bug,54,0,0,0,0,0,1,1
284,1,2841,Masquerain,Bug,Flying,Blue,Intimidate,,Unnerve,3,0,0,0.8,3.6,70,60,62,100,82,80,454,75,15,3840,Water1,Bug,159,0,0,0,1,1,0,2
285,1,2851,Shroomish,Grass,,Brown,Effect Spore,Poison Heal,Quick Feet,3,0,0,0.4,4.5,60,40,60,40,60,35,295,255,15,3840,Fairy,Grass,59,1,0,0,0,0,0,1
286,1,2861,Breloom,Grass,Fighting,Green,Effect Spore,Poison Heal,Technician,3,0,0,1.2,39.2,60,130,80,60,60,70,460,90,15,3840,Fairy,Grass,161,0,2,0,0,0,0,2
287,1,2871,Slakoth,Normal,,Brown,Truant,,,3,0,0,0.8,24,60,60,60,35,35,30,280,255,15,3840,Field,,56,1,0,0,0,0,0,1
288,1,2881,Vigoroth,Normal,,White,Vital Spilit,,,3,0,0,1.4,46.5,80,80,80,55,55,90,440,120,15,3840,Field,,154,0,0,0,0,0,2,2
289,1,2891,Slaking,Normal,,Brown,Truant,,,3,0,0,2,130.5,150,160,100,95,65,100,670,45,15,3840,Field,,285,3,0,0,0,0,0,3
290,1,2901,Nincada,Bug,Ground,Grey,Compound Eyes,,Run Away,3,0,0,0.5,5.5,31,45,90,30,30,40,266,255,15,3840,Bug,,53,0,0,1,0,0,0,1
291,1,2911,Ninjask,Bug,Flying,Yellow,Speed Boost,,Infiltrator,3,0,0,0.8,12,61,90,45,50,50,160,456,120,15,3840,Bug,,160,0,0,0,0,0,2,2
292,1,2921,Shedinja,Bug,Ghost,Brown,Wonder Guard,,,3,0,0,0.8,1.2,1,90,45,30,30,40,236,45,15,3840,Mineral,,83,2,0,0,0,0,0,2
293,1,2931,Whismur,Normal,,Pink,Soundproof,,Rattled,3,0,0,0.6,16.3,64,51,23,51,23,28,240,190,20,5120,Monster,Field,48,1,0,0,0,0,0,1
294,1,2941,Loudred,Normal,,Blue,Soundproof,,Scrappy,3,0,0,1,40.5,84,71,43,71,43,48,360,120,20,5120,Monster,Field,126,2,0,0,0,0,0,2
295,1,2951,Exploud,Normal,,Blue,Soundproof,,Scrappy,3,0,0,1.5,84,104,91,63,91,73,68,490,45,20,5120,Monster,Field,245,3,0,0,0,0,0,3
296,1,2961,Makuhita,Fighting,,Yellow,Thick Fat,Guts,Sheer Force,3,0,0,1,86.4,72,60,30,20,30,25,237,180,20,5120,Human-Like,,47,1,0,0,0,0,0,1
297,1,2971,Hariyama,Fighting,,Brown,Thick Fat,Guts,Sheer Force,3,0,0,2.3,253.8,144,120,60,40,60,50,474,200,20,5120,Human-Like,,166,2,0,0,0,0,0,2
298,1,2981,Azurill,Normal,Fairy,Blue,Thick Fat,Huge Power,Sap Sipper,3,0,0,0.2,2,50,20,40,20,40,20,190,150,10,2560,Undiscovered,,38,1,0,0,0,0,0,1
299,1,2991,Nosepass,Rock,,Grey,Sturdy,Magnet Pull,Sand Force,3,0,0,1,97,30,45,135,45,90,30,375,255,20,5120,Mineral,,75,0,0,1,0,0,0,1
300,1,3001,Skitty,Normal,,Pink,Cute Charm,Normalize,Wonder Skin,3,0,0,0.6,11,50,45,45,35,35,50,260,255,15,3840,Field,Fairy,52,0,0,0,0,0,1,1
301,1,3011,Delcatty,Normal,,Purple,Cute Charm,Normalize,Wonder Skin,3,0,0,1.1,32.6,70,65,65,55,55,90,400,60,15,3840,Field,Fairy,140,1,0,0,0,0,1,2
302,1,3021,Sableye,Dark,Ghost,Purple,Keen Eye,Stall,Prankster,3,0,0,0.5,11,50,75,75,65,65,50,380,45,25,6400,Human-Like,,133,0,1,1,0,0,0,2
302,2,3022,Mega Sableye,Dark,Ghost,Purple,Magic Bounce,,,3,0,1,0.5,161,50,85,125,85,115,20,480,45,25,6400,Human-Like,,168,0,1,1,0,0,0,2
303,1,3031,Mawile,Steel,Fairy,Black,Hyper Cutter,Intimidate,Sheer Force,3,0,0,0.6,11.5,50,85,85,55,55,50,380,45,20,5120,Field,Fairy,133,0,1,1,0,0,0,2
303,2,3032,Mega Mawile,Steel,Fairy,Black,Huge Power,,,3,0,1,1,23.5,50,105,125,55,95,50,480,45,20,5120,Field,Fairy,168,0,1,1,0,0,0,2
304,1,3041,Aron,Steel,Rock,Grey,Sturdy,Rock Head,Heavy Metal,3,0,0,0.4,60,50,70,100,40,40,30,330,180,35,8960,Monster,,66,0,0,1,0,0,0,1
305,1,3051,Lairon,Steel,Rock,Grey,Sturdy,Rock Head,Heavy Metal,3,0,0,0.9,120,60,90,140,50,50,40,430,90,35,8960,Monster,,151,0,0,2,0,0,0,2
306,1,3061,Aggron,Steel,Rock,Grey,Sturdy,Rock Head,Heavy Metal,3,0,0,2.1,360,70,110,180,60,60,50,530,45,35,8960,Monster,,265,0,0,3,0,0,0,3
306,2,3062,Mega Aggron,Steel,,Grey,Filter,,,3,0,1,2.2,395,70,140,230,60,80,50,630,45,35,8960,Monster,,315,0,0,3,0,0,0,3
307,1,3071,Meditite,Fighting,Psychic,Blue,Pure Power,,Telepathy,3,0,0,0.6,11.2,30,40,55,40,55,60,280,180,20,5120,Human-Like,,56,0,0,0,0,0,1,1
308,1,3081,Medicham,Fighting,Psychic,Red,Pure Power,,Telepathy,3,0,0,1.3,31.5,60,60,75,60,75,80,410,90,20,5120,Human-Like,,144,0,0,0,0,0,2,2
308,2,3082,Mega Medicham,Fighting,Psychic,Red,Pure Power,,,3,0,1,1.3,31.5,60,100,85,80,85,100,510,90,20,5120,Human-Like,,179,0,0,0,0,0,2,2
309,1,3091,Electrike,Electric,,Green,Static,Lightning Rod,Minus,3,0,0,0.6,15.2,40,45,40,65,40,65,295,120,20,5120,Field,,59,0,0,0,0,0,1,1
310,1,3101,Manectric,Electric,,Yellow,Static,Lightning Rod,Minus,3,0,0,1.5,40.2,70,75,60,105,60,105,475,45,20,5120,Field,,166,0,0,0,0,0,2,2
310,2,3102,Mega Manectric,Electric,,Yellow,Intimidate,,,3,0,1,1.8,44,70,75,80,135,80,135,575,45,20,5120,Field,,201,0,0,0,0,0,2,2
311,1,3111,Plusle,Electric,,Yellow,Plus,,Lightning Rod,3,0,0,0.4,4.2,60,50,40,85,75,95,405,200,20,5120,Fairy,,142,0,0,0,0,0,1,1
312,1,3121,Minun,Electric,,Yellow,Minus,,Lightning Rod,3,0,0,0.4,4.2,60,40,50,75,85,95,405,200,20,5120,Fairy,,142,0,0,0,0,0,1,1
313,1,3131,Volbeat,Bug,,Grey,Illuminate,Swarm,Prankster,3,0,0,0.7,17.7,65,73,75,47,85,85,430,150,15,3840,Bug,Human-Like,151,0,0,0,0,0,1,1
314,1,3141,Illumise,Bug,,Purple,Oblivious,Tinted Lens,Prankster,3,0,0,0.6,17.7,65,47,75,73,85,85,430,150,15,3840,Bug,Human-Like,151,0,0,0,0,0,1,1
315,1,3151,Roselia,Grass,Poison,Green,Natural Cure,Poison Point,Leaf Guard,3,0,0,0.3,2,50,60,45,100,80,65,400,150,20,5120,Fairy,Grass,140,0,0,0,2,0,0,2
316,1,3161,Gulpin,Poison,,Green,Liquid Ooze,Sticky Hold,Gluttony,3,0,0,0.4,10.3,70,43,53,43,53,40,302,225,20,5120,Amorphous,,60,1,0,0,0,0,0,1
317,1,3171,Swalot,Poison,,Purple,Liquid Ooze,Sticky Hold,Gluttony,3,0,0,1.7,80,100,73,83,73,83,55,467,75,20,5120,Amorphous,,163,2,0,0,0,0,0,2
318,1,3181,Carvanha,Water,Dark,Red,Rough Skin,,Speed Boost,3,0,0,0.8,20.8,45,90,20,65,20,65,305,225,20,5120,Water2,,61,0,1,0,0,0,0,1
319,1,3191,Sharpedo,Water,Dark,Blue,Rough Skin,,Speed Boost,3,0,0,1.8,88.8,70,120,40,95,40,95,460,60,20,5120,Water2,,161,0,2,0,0,0,0,2
319,2,3192,Mega Sharpedo,Water,Dark,Blue,Strong Jaw,,,3,0,1,2.5,130.3,70,140,70,110,65,105,560,60,20,5120,Water2,,196,0,2,0,0,0,0,2
320,1,3201,Wailmer,Water,,Blue,Water Veil,Oblivious,Pressure,3,0,0,2,130,130,70,35,70,35,60,400,125,40,10240,Field,Water2,80,1,0,0,0,0,0,1
321,1,3211,Wailord,Water,,Blue,Water Veil,Oblivious,Pressure,3,0,0,14.5,398,170,90,45,90,45,60,500,60,40,10240,Field,Water2,175,2,0,0,0,0,0,2
322,1,3221,Numel,Fire,Ground,Yellow,Oblivious,Simple,Own Tempo,3,0,0,0.7,24,60,60,40,65,45,35,305,255,20,5120,Field,,61,0,0,0,1,0,0,1
323,1,3231,Camerupt,Fire,Ground,Red,Magma Armor,Solid Rock,Anger Point,3,0,0,1.9,220,70,100,70,105,75,40,460,150,20,5120,Field,,161,0,1,0,1,0,0,2
323,2,3232,Mega Camerupt,Fire,Ground,Red,Sheer Force,,,3,0,1,2.5,320.5,70,120,100,145,105,20,560,150,20,5120,Field,,196,0,1,0,1,0,0,2
324,1,3241,Torkoal,Fire,,Brown,White Smoke,Drought,Shell Armor,3,0,0,0.5,80.4,70,85,140,85,70,20,470,90,20,5120,Field,,165,0,0,2,0,0,0,2
325,1,3251,Spoink,Psychic,,Black,Thick Fat,Own Tempo,Gluttony,3,0,0,0.7,30.6,60,25,35,70,80,60,330,255,20,5120,Field,,66,0,0,0,0,1,0,1
326,1,3261,Grumpig,Psychic,,Purple,Thick Fat,Own Tempo,Gluttony,3,0,0,0.9,71.5,80,45,65,90,110,80,470,60,20,5120,Field,,165,0,0,0,0,2,0,2
327,1,3271,Spinda,Normal,,Brown,Own Tempo,Tangled Feet,Contrary,3,0,0,1.1,5,60,60,60,60,60,60,360,255,15,3840,Field,Human-Like,126,0,0,0,1,0,0,1
328,1,3281,Trapinch,Ground,,Brown,Hyper Cutter,Arena Trap,Sheer Force,3,0,0,0.7,15,45,100,45,45,45,10,290,255,20,5120,Bug,Dragon,58,0,1,0,0,0,0,1
329,1,3291,Vibrava,Ground,Dragon,Green,Levitate,,,3,0,0,1.1,15.3,50,70,50,50,50,70,340,120,20,5120,Bug,Dragon,119,0,1,0,0,0,1,2
330,1,3301,Flygon,Ground,Dragon,Green,Levitate,,,3,0,0,2,82,80,100,80,80,80,100,520,45,20,5120,Bug,Dragon,260,0,1,0,0,0,2,3
331,1,3311,Cacnea,Grass,,Green,Sand Veil,,Water Absorb,3,0,0,0.4,51.3,50,85,40,85,40,35,335,190,20,5120,Grass,Human-Like,67,0,0,0,1,0,0,1
332,1,3321,Cacturne,Grass,Dark,Green,Sand Veil,,Water Absorb,3,0,0,1.3,77.4,70,115,60,115,60,55,475,60,20,5120,Grass,Human-Like,166,0,1,0,1,0,0,2
333,1,3331,Swablu,Normal,Flying,Blue,Natural Cure,,Cloud Nine,3,0,0,0.4,1.2,45,40,60,40,75,50,310,255,20,5120,Flying,Dragon,62,0,0,0,0,1,0,1
334,1,3341,Altaria,Dragon,Flying,Blue,Natural Cure,,Cloud Nine,3,0,0,1.1,20.6,75,70,90,70,105,80,490,45,20,5120,Flying,Dragon,172,0,0,0,0,2,0,2
334,2,3342,Mega Altaria,Dragon,Fairy,Blue,Pixilate,,,3,0,1,1.5,20.6,75,110,110,110,105,80,590,45,20,5120,Flying,Dragon,207,0,0,0,0,2,0,2
335,1,3351,Zangoose,Normal,,White,Immunity,,Toxic Boost,3,0,0,1.3,40.3,73,115,60,60,60,90,458,90,20,5120,Field,,160,0,2,0,0,0,0,2
336,1,3361,Seviper,Poison,,Black,Shed Skin,,Infiltrator,3,0,0,2.7,52.5,73,100,60,100,60,65,458,90,20,5120,Field,Dragon,160,0,1,0,1,0,0,2
337,1,3371,Lunatone,Rock,Psychic,Yellow,Levitate,,,3,0,0,1,168,90,55,65,95,85,70,460,45,25,6400,Mineral,,161,0,0,0,2,0,0,2
338,1,3381,Solrock,Rock,Psychic,Red,Levitate,,,3,0,0,1.2,154,90,95,85,55,65,70,460,45,25,6400,Mineral,,161,0,2,0,0,0,0,2
339,1,3391,Barboach,Water,Ground,Grey,Oblivious,Anticipation,Hydration,3,0,0,0.4,1.9,50,48,43,46,41,60,288,190,20,5120,Water2,,58,1,0,0,0,0,0,1
340,1,3401,Whiscash,Water,Ground,Blue,Oblivious,Anticipation,Hydration,3,0,0,0.9,23.6,110,78,73,76,71,60,468,75,20,5120,Water2,,164,2,0,0,0,0,0,2
341,1,3411,Corphish,Water,,Red,Hyper Cutter,Shell Armor,Adaptability,3,0,0,0.6,11.5,43,80,65,50,35,35,308,205,15,3840,Water1,Water3,62,0,1,0,0,0,0,1
342,1,3421,Crawdaunt,Water,Dark,Red,Hyper Cutter,Shell Armor,Adaptability,3,0,0,1.1,32.8,63,120,85,90,55,55,468,155,15,3840,Water1,Water3,164,0,2,0,0,0,0,2
343,1,3431,Baltoy,Ground,Psychic,Brown,Levitate,,,3,0,0,0.5,21.5,40,40,55,40,70,55,300,255,20,5120,Mineral,,60,0,0,0,0,1,0,1
344,1,3441,Claydol,Ground,Psychic,Black,Levitate,,,3,0,0,1.5,108,60,70,105,70,120,75,500,90,20,5120,Mineral,,175,0,0,0,0,2,0,2
345,1,3451,Lileep,Rock,Grass,Purple,Suction Cups,,Storm Drain,3,0,0,1,23.8,66,41,77,61,87,23,355,45,30,7680,Water3,,71,0,0,0,0,1,0,1
346,1,3461,Cradily,Rock,Grass,Green,Suction Cups,,Storm Drain,3,0,0,1.5,60.4,86,81,97,81,107,43,495,45,30,7680,Water3,,173,0,0,0,0,2,0,2
347,1,3471,Anorith,Rock,Bug,Grey,Battle Armor,,Swift Swim,3,0,0,0.7,12.5,45,95,50,40,50,75,355,45,30,7680,Water3,,71,0,1,0,0,0,0,1
348,1,3481,Armaldo,Rock,Bug,Grey,Battle Armor,,Swift Swim,3,0,0,1.5,68.2,75,125,100,70,80,45,495,45,30,7680,Water3,,173,0,2,0,0,0,0,2
349,1,3491,Feebas,Water,,Brown,Swift Swim,Oblivious,Adaptability,3,0,0,0.6,7.4,20,15,20,10,55,80,200,255,20,5120,Water1,Dragon,40,0,0,0,0,0,1,1
350,1,3501,Milotic,Water,,Pink,Marvel Scale,Competitive,Cute Charm,3,0,0,6.2,162,95,60,79,100,125,81,540,60,20,5120,Water1,Dragon,189,0,0,0,0,2,0,2
351,1,3511,Castform,Normal,,Grey,Forecast,,,3,0,0,0.3,0.8,70,70,70,70,70,70,420,45,25,6400,Fairy,Amorphous,147,1,0,0,0,0,0,1
351,2,3512,Castform,Fire,,Red,Forecast,,,3,0,0,0.3,0.8,70,70,70,70,70,70,420,45,25,6400,Fairy,Amorphous,147,1,0,0,0,0,0,1
351,3,3513,Castform,Water,,Blue,Forecast,,,3,0,0,0.3,0.8,70,70,70,70,70,70,420,45,25,6400,Fairy,Amorphous,147,1,0,0,0,0,0,1
351,4,3514,Castform,Ice,,White,Forecast,,,3,0,0,0.3,0.8,70,70,70,70,70,70,420,45,25,6400,Fairy,Amorphous,147,1,0,0,0,0,0,1
352,1,3521,Kecleon,Normal,,Green,Color Change,,Protean,3,0,0,1,22,60,90,70,60,120,40,440,200,20,5120,Field,,154,0,0,0,0,1,0,1
353,1,3531,Shuppet,Ghost,,Black,Insomnia,Frisk,Cursed Body,3,0,0,0.6,2.3,44,75,35,63,33,45,295,225,25,6400,Amorphous,,59,0,1,0,0,0,0,1
354,1,3541,Banette,Ghost,,Black,Insomnia,Frisk,Cursed Body,3,0,0,1.1,12.5,64,115,65,83,63,65,455,45,25,6400,Amorphous,,159,0,2,0,0,0,0,2
354,2,3542,Mega Banette,Ghost,,Black,Prankster,,,3,0,1,1.2,13,64,165,75,93,83,75,555,45,25,6400,Amorphous,,194,0,2,0,0,0,0,2
355,1,3551,Duskull,Ghost,,Black,Levitate,,Frisk,3,0,0,0.8,15,20,40,90,30,90,25,295,190,25,6400,Amorphous,,59,0,0,0,0,1,0,1
356,1,3561,Dusclops,Ghost,,Black,Pressure,,Frisk,3,0,0,1.6,30.6,40,70,130,60,130,25,455,90,25,6400,Amorphous,,159,0,0,1,0,1,0,2
357,1,3571,Tropius,Grass,Flying,Green,Chlorophyll,Solar Power,Harvest,3,0,0,2,100,99,68,83,72,87,51,460,200,25,6400,Monster,Grass,161,2,0,0,0,0,0,2
358,1,3581,Chimecho,Psychic,,Blue,Levitate,,,3,0,0,0.6,1,75,50,80,95,90,65,455,45,25,6400,Amorphous,,159,0,0,0,1,1,0,2
359,1,3591,Absol,Dark,,White,Pressure,Super Luck,Justified,3,0,0,1.2,47,65,130,60,75,60,75,465,30,25,6400,Field,,163,0,2,0,0,0,0,2
